train/explained_variance,train/approx_kl,time/total_timesteps,time/fps,train/value_loss,rollout/ep_len_mean,train/std,train/learning_rate,time/time_elapsed,train/clip_range,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/loss,train/policy_gradient_loss,time/iterations,eval/mean_ep_length,eval/mean_reward
0.9785559177398682,0.0187371,23000000,,0.015187064884230494,,1.6254092454910278,0.0003,,0.2,7010,0.1604248046875,,-30.232874202728272,-0.17992953956127167,-0.018829200533218682,,396.0,5101.616591739655
0.9825204610824585,0.018485758,23265280,7219,0.012464666040614247,353.97,1.6421823501586914,0.0003,3222,0.2,7090,0.15145263671875,4467.20307308,-30.430486488342286,-0.18499858677387238,-0.020406263176118954,710,,
0.9823735952377319,0.016560469,23592960,7220,0.011818739818409085,343.66,1.657853126525879,0.0003,3267,0.2,7190,0.15538330078125,4380.81179774,-30.559626388549805,-0.1843002289533615,-0.01903032676782459,720,,
0.9773187041282654,0.016537063,23920640,7222,0.015320459427312017,366.59,1.678338646888733,0.0003,3312,0.2,7290,0.1476837158203125,4680.207181889999,-30.727904415130617,-0.18617238104343414,-0.01928636555094272,730,,
0.9791301488876343,0.018093333,24000000,,0.014364787470549345,,1.6843442916870117,0.0003,,0.2,7320,0.150128173828125,,-30.769655323028566,-0.18475869297981262,-0.019333626388106494,,378.2,5118.376421034336
0.9823052883148193,0.01740398,24248320,7221,0.011806157045066356,346.09,1.703323245048523,0.0003,3357,0.2,7390,0.1500946044921875,4369.032605750001,-30.92457323074341,-0.18782174587249756,-0.019861930410843342,740,,
0.9823158383369446,0.019105121,24576000,7222,0.011822199542075395,362.98,1.7273166179656982,0.0003,3402,0.2,7490,0.1541107177734375,4560.987781569999,-31.129677486419677,-0.18932586908340454,-0.020327561744488777,750,,
0.9834437966346741,0.01786679,24903680,7224,0.010800895420834422,351.35,1.7484174966812134,0.0003,3447,0.2,7590,0.1522674560546875,4363.5185278,-31.30992603302002,-0.18923643231391907,-0.020247594348620623,760,,
0.9797613024711609,0.016979128,25000000,,0.012441859766840934,,1.7553926706314087,0.0003,,0.2,7620,0.1585601806640625,,-31.35789051055908,-0.18987463414669037,-0.019843937671976165,,399.4,4701.497882390022
0.9815467000007629,0.016883038,25231360,7222,0.012960502738133073,349.11,1.7743808031082153,0.0003,3493,0.2,7690,0.1505645751953125,4384.89118442,-31.502693939208985,-0.18835392594337463,-0.019095231301616878,770,,
0.9735868573188782,0.017381586,25559040,7224,0.017451075743883847,344.69,1.804736614227295,0.0003,3537,0.2,7790,0.1559661865234375,4295.273484859999,-31.7313063621521,-0.19048497080802917,-0.020187443983741105,780,,
0.9834551811218262,0.017933274,25886720,7225,0.010941781243309379,360.05,1.830847978591919,0.0003,3582,0.2,7890,0.14801025390625,4580.088144269999,-31.90314636230469,-0.1939118504524231,-0.02066346878418699,790,,
0.9809553027153015,0.01710907,26000000,,0.012919576233252883,,1.838201642036438,0.0003,,0.2,7930,0.1547760009765625,,-31.960938930511475,-0.1922038048505783,-0.019558099657297136,,410.2,5248.212620216608
0.9839264154434204,0.018508002,26214400,7224,0.010992808360606432,364.9,1.8541078567504883,0.0003,3628,0.2,7990,0.152252197265625,4656.93792567,-32.07665100097656,-0.1925254464149475,-0.019228181219659746,800,,
0.9853336215019226,0.016981024,26542080,7226,0.009698712080717087,369.88,1.8835291862487793,0.0003,3673,0.2,8090,0.146710205078125,4762.0954126199995,-32.28350391387939,-0.19560952484607697,-0.019871483184397222,810,,
0.9825744032859802,0.018075708,26869760,7227,0.011579176224768162,362.62,1.9143396615982056,0.0003,3717,0.2,8190,0.1530609130859375,4668.67403942,-32.5216890335083,-0.19292868673801422,-0.019263361860066653,820,,
0.9793810248374939,0.018653538,27000000,,0.014936888916417956,,1.9222286939620972,0.0003,,0.2,8230,0.1637451171875,,-32.571588134765626,-0.19634570181369781,-0.0208972830849234,,416.0,5281.483854773641
0.9801656007766724,0.0187455,27197440,7227,0.01253962772898376,370.32,1.938890814781189,0.0003,3763,0.2,8290,0.1582763671875,4733.9127234200005,-32.68986186981201,-0.19505587220191956,-0.019775373907759786,830,,
