rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
7666.1415838600005,2152,9210,3482776,1618,1364.77,-7.201076507568359,434096,0.00025156326591968536,0.0003,0.0016349134966731071,-4.120853900909424,,
6795.052414749999,2153,9220,3484040,1618,1208.82,-1.112156629562378,434254,0.0002519414119888097,0.0003,0.0020377482287585735,-4.101049423217773,,
5846.392798219999,2158,9230,3493664,1618,1024.03,-9.753311157226562,435457,0.00025368022033944726,0.0003,0.0023690005764365196,-4.112931728363037,,
5044.25806813,2178,9240,3524808,1618,892.31,-2.7819247245788574,439350,0.00024194331490434706,0.0003,0.004191461950540543,-3.907522201538086,,
5133.53965415,2179,9250,3527040,1618,919.65,3.3264546394348145,439629,0.00024591656983830035,0.0003,0.003717006416991353,-3.810242176055908,,
4771.699402499999,2180,9260,3528920,1618,849.72,-14.170999526977539,439864,0.0002485784061718732,0.0003,0.0017064872663468122,-3.831415891647339,,
4598.09400898,2181,9270,3530232,1618,817.12,-8.491621017456055,440028,0.00024314335314556956,0.0003,0.0018366050207987428,-3.8766422271728516,,
3847.0574346199996,2182,9280,3531744,1618,685.92,-1.2951997518539429,440217,0.00024296324409078807,0.0003,0.007560609374195337,-3.7015886306762695,,
3857.32608297,2183,9290,3533704,1618,701.15,-1.8641517162322998,440462,0.00024595644208602607,0.0003,0.00381207256577909,-3.8999288082122803,,
3651.0934860399993,2185,9300,3536392,1618,668.9,-10.085079193115234,440798,0.00024635856971144676,0.0003,0.0021847551688551903,-3.80996036529541,,
3785.6939470199995,2189,9310,3543416,1618,692.12,-5.288969039916992,441676,0.00023791832791175693,0.0003,0.0036437981761991978,-3.775423049926758,,
4204.72756485,2199,9320,3559088,1618,747.73,5.47335958480835,443635,0.00024533167015761137,0.0003,0.002504469593986869,-3.727975606918335,,
4815.54943897,2210,9330,3577624,1618,846.11,-5.915776252746582,445952,0.0002640980528667569,0.0003,0.0028099464252591133,-3.7164950370788574,,
5381.47724692,2231,9340,3612640,1618,914.5,-5.3984270095825195,450329,0.00026670200168155134,0.0003,0.0037148797418922186,-3.5059776306152344,,
5552.14012924,2238,9350,3623568,1618,929.83,2.0410401821136475,451695,0.00029936907230876386,0.0003,0.004547195974737406,-3.4906911849975586,,
6070.09665043,2241,9360,3628296,1618,1029.85,8.56529426574707,452286,0.0003135479346383363,0.0003,0.006310264579951763,-3.486485242843628,,
6428.970985539999,2243,9370,3631104,1618,1082.85,9.180570602416992,452637,0.00031684423447586596,0.0003,0.016101080924272537,-3.5672171115875244,,
6581.244158279999,2245,9380,3634472,1618,1100.58,8.676671028137207,453058,0.0003335950314067304,0.0003,0.0060896482318639755,-3.557431221008301,,
6829.82096896,2250,9390,3642272,1618,1133.27,16.35016632080078,454033,0.0004182102857157588,0.0003,0.01351138949394226,-3.536329746246338,,
7437.50474841,2257,9400,3653952,1618,1240.55,11.778850555419922,455493,0.0006805032608099282,0.0003,0.008800353854894638,-4.131527423858643,,
7272.61187586,2263,9410,3664232,1618,1211.82,-1.7630972862243652,456778,0.0008848189027048647,0.0003,0.00917050801217556,-4.367432594299316,,
6964.08026781,2282,9420,3695976,1618,1194.36,-2.5823636054992676,460746,0.0008306612726300955,0.0003,0.014243662357330322,-5.110770225524902,,
6517.6873082,2286,9430,3702056,1618,1130.23,-0.21694111824035645,461506,0.0008087286842055619,0.0003,0.018246520310640335,-5.166138648986816,,
5336.94658991,2288,9440,3704480,1619,930.3,0.7188193798065186,461809,0.0008113107178360224,0.0003,0.007503948174417019,-5.210369110107422,,
4912.21963575,2288,9450,3705008,1619,870.9,-8.270185470581055,461875,0.0008067912422120571,0.0003,0.0068615637719631195,-4.990360260009766,,
4294.37844839,2289,9460,3706000,1619,759.72,1.341073989868164,461999,0.0007895354647189379,0.0003,0.01443682610988617,-5.051785469055176,,
4195.843100200001,2289,9470,3707368,1619,759.54,-11.96069049835205,462170,0.0008039525127969682,0.0003,0.0118825389072299,-5.161356449127197,,
4408.106195230001,2299,9480,3724552,1619,837.13,1.1458022594451904,464318,0.0007219089311547577,0.0003,0.007026522420346737,-5.288100242614746,,
4137.15099756,2310,9490,3741944,1619,919.83,-2.899444103240967,466492,0.0006389844929799438,0.0003,0.007943371310830116,-5.239956855773926,,
3604.421203579999,2315,9500,3750352,1619,836.41,7.709104061126709,467543,0.0005816044867970049,0.0003,0.02211565524339676,-5.2300801277160645,,
4775.63709794,2338,9510,3787696,1619,1120.81,5.2206549644470215,472211,0.0004378459125291556,0.0003,0.005345715209841728,-4.87270975112915,,
6478.9156956299985,2365,9520,3830320,1619,1450.88,-5.002633094787598,477539,0.0004361341125331819,0.0003,0.0067750634625554085,-4.659361362457275,,
8260.76198151,2390,9530,3871640,1619,1798.62,-4.721649169921875,482704,0.00046107664820738137,0.0003,0.0026560979895293713,-4.660381317138672,,
9091.42118849,2412,9540,3906728,1619,1949.8,-0.41367268562316895,487090,0.0006499538430944085,0.0003,0.004071593284606934,-4.926424503326416,,
10642.23315249,2434,9550,3943592,1619,2279.11,4.541110515594482,491698,0.0005729903932660818,0.0003,0.004086719825863838,-5.11801815032959,,
12190.23729374,2449,9560,3968048,1619,2573.25,6.563857078552246,494755,0.0005212193937040865,0.0003,0.007650344632565975,-5.100733280181885,,
13668.278120939996,2467,9570,3996072,1619,2858.52,-5.590054512023926,498258,0.0004654628864955157,0.0003,0.0035640685819089413,-5.010345935821533,,
,,,4000000,,,1.8232942819595337,498749,0.000464060518424958,0.0003,0.0030712976586073637,-5.044720649719238,2110.2,11962.067884206772
14690.190200030003,2493,9580,4028360,1615,3018.27,12.631843566894531,502294,0.00048147045890800655,0.0003,0.002974109724164009,-5.088773250579834,,
16643.27220242,2518,9590,4068360,1615,3254.14,-0.6624826192855835,507294,0.0005440398235805333,0.0003,0.00580494524911046,-5.190895080566406,,
18602.09076377,2542,9600,4108360,1615,3615.54,-0.7220879197120667,512294,0.0005063820281066,0.0003,0.004879633896052837,-5.071061611175537,,
17877.698306950002,2562,9610,4139680,1615,3438.37,4.975942611694336,516209,0.0005397064960561693,0.0003,0.0019333346281200647,-5.157316207885742,,
17968.90541205,2586,9620,4180072,1615,3430.31,-1.9211193323135376,521258,0.0007069355924613774,0.0003,0.01832910254597664,-5.659608840942383,,
18042.376700840003,2613,9630,4223592,1615,3433.81,-4.4097747802734375,526698,0.0006870752549730241,0.0003,0.0038760905154049397,-5.968805313110352,,
17989.039525639997,2627,9640,4246056,1615,3429.4,0.4015737771987915,529506,0.000657114724162966,0.0003,0.004178657662123442,-5.909761428833008,,
17594.34118428,2642,9650,4268848,1615,3309.89,-1.6420001983642578,532355,0.0005715697770938277,0.0003,0.0025909149553626776,-5.981326103210449,,
16399.52192161,2643,9660,4271728,1615,3082.43,-5.022721290588379,532715,0.0005587898776866496,0.0003,0.0036311582662165165,-6.028477668762207,,
15024.197604500001,2654,9670,4288080,1615,2810.9,-7.529510498046875,534759,0.0005119574489071965,0.0003,0.0024017388932406902,-5.845046520233154,,
14488.68775431,2664,9680,4305104,1615,2708.81,13.197766304016113,536887,0.0004631826304830611,0.0003,0.004379404708743095,-5.664216041564941,,
13374.60993224,2671,9690,4316320,1615,2512.11,5.92157506942749,538289,0.00045107564073987305,0.0003,0.003420052584260702,-5.566873550415039,,
12189.027826410002,2689,9700,4345096,1615,2287.26,-2.4612739086151123,541886,0.00042226057848893106,0.0003,0.0019686438608914614,-5.442422866821289,,
12862.32681135,2699,9710,4361616,1615,2408.21,-6.166560173034668,543951,0.00038783191121183336,0.0003,0.0036764629185199738,-5.260978698730469,,
11420.643033810002,2709,9720,4378320,1615,2116.07,5.430110454559326,546039,0.00037269145832397044,0.0003,0.003773971926420927,-5.026096343994141,,
10368.359514029999,2727,9730,4407424,1615,1889.54,11.304750442504883,549677,0.0004750275402329862,0.0003,0.003984658978879452,-4.971325874328613,,
10335.318067440001,2737,9740,4422608,1615,1863.42,1.1454787254333496,551575,0.0005461038090288639,0.0003,0.004823135212063789,-4.90101432800293,,
9364.4239397,2744,9750,4434112,1615,1654.84,-1.6564769744873047,553013,0.0007229148177430034,0.0003,0.004408610984683037,-5.083856582641602,,
10174.54422195,2753,9760,4449552,1615,1795.35,-4.964167594909668,554943,0.0007543796673417091,0.0003,0.006690043956041336,-5.395059108734131,,
10381.231108640002,2757,9770,4455648,1615,1818.27,-6.215142250061035,555705,0.0007559716468676925,0.0003,0.005075816996395588,-5.359607219696045,,
11146.448401329999,2781,9780,4494096,1615,1965.85,-8.329657554626465,560511,0.000704360892996192,0.0003,0.004468054976314306,-5.718558311462402,,
11402.57325274,2805,9790,4532544,1615,2011.28,2.9748520851135254,565317,0.0005549140041694045,0.0003,0.0037566812243312597,-5.716073036193848,,
12009.354833520001,2823,9800,4561360,1615,2137.16,10.547210693359375,568919,0.0005132066435180604,0.0003,0.0037765325978398323,-5.6062703132629395,,
11846.958227740002,2832,9810,4576992,1615,2107.33,-4.811478614807129,570873,0.0005007871077395976,0.0003,0.0027336589992046356,-5.603906631469727,,
11890.430988159998,2835,9820,4581232,1615,2123.34,-2.9479284286499023,571403,0.0005016250070184469,0.0003,0.0036475909873843193,-5.610539436340332,,
10836.113907720002,2837,9830,4584264,1615,1922.99,1.7483923435211182,571782,0.0005186123307794333,0.0003,0.006746145896613598,-5.456062316894531,,
9827.09592011,2838,9840,4587048,1615,1723.78,5.176846027374268,572130,0.000545935588888824,0.0003,0.0043870871886610985,-5.616419792175293,,
9958.46099833,2862,9850,4625184,1615,1759.86,-2.89589786529541,576897,0.0009296353673562407,0.0003,0.010820590890944004,-6.50746488571167,,
11208.69550568,2887,9860,4665808,1615,1998.77,-0.6182981729507446,581975,0.0007597991498187184,0.0003,0.0051680863834917545,-7.480032920837402,,
12199.54725447,2898,9870,4684136,1616,2205.67,-1.508182168006897,584266,0.0007586811552755535,0.0003,0.01473505049943924,-7.318851470947266,,
10547.694652840002,2900,9880,4688192,1616,1901.32,-0.6808584332466125,584773,0.000761093629989773,0.0003,0.008977853693068027,-7.397787094116211,,
9368.6257916,2911,9890,4705568,1616,1676.32,-5.140755653381348,586945,0.0008767781546339393,0.0003,0.005741925910115242,-7.336116790771484,,
9086.536817529997,2913,9900,4708760,1616,1631.92,5.434752464294434,587344,0.000907207140699029,0.0003,0.010395292192697525,-7.446736812591553,,
8038.193609029999,2915,9910,4712544,1616,1415.53,2.0545380115509033,587817,0.0009371987544000149,0.0003,0.01452253945171833,-7.459232807159424,,
7561.836174059999,2917,9920,4715376,1616,1333.48,3.0529932975769043,588171,0.0009532629628665745,0.0003,0.008413718082010746,-7.455459117889404,,
7473.244605790001,2918,9930,4716680,1616,1331.38,-3.1625638008117676,588334,0.0009517486323602498,0.0003,0.00862298533320427,-7.380279064178467,,
7288.2551095399995,2919,9940,4718080,1616,1314.9,-0.8929206132888794,588509,0.000950761663261801,0.0003,0.011408695951104164,-7.500019550323486,,
6816.570733589999,2920,9950,4720048,1616,1234.75,11.295242309570312,588755,0.0009765405557118356,0.0003,0.012210048735141754,-7.483312129974365,,
